Contract,Type,DirectOwner,ProxyAdmin,ProxyAdminType,ProxyAdminOwner,UltimateController,ControlPath
UsernameSimpleCharsetNamespaceRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
SimplePaymentFeedRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TokenGatedFeedRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TokenGatedGraphRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
FollowersOnlyPostRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
GroupGatedGraphRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
SimplePaymentFollowRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TokenGatedFollowRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
MembershipApprovalGroupRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
SimplePaymentGroupRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TokenGatedGroupRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TokenGatedNamespaceRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
UsernamePricePerLengthNamespaceRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
LensNativePaymentHelper,Aux,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TokenDistributor,Misc,0xDA1F6A04fDF31b9B9AD4F6E4cc85Dcf1D5365DA6,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
