Contract,Type,Address,ProxyType,ProxyAdmin,ProxyAdminOwner,Implementation,ImplBytecodeHash,Beacon,BeaconOwner,BeaconVersion,AutoUpgrade
LensGlobalNamespace,Primitive,0x1aA55B9042f08f45825dC4b651B64c9F98Af4615,BeaconProxy,0x576Cac536B1D1Cf0c6aB0f8d711aa79539F155CE,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xe3afBf23d2054e13A1c0373061945b8cc024B968,0x010014d3613b11cbecc120b975baae6d7bf21384b62d3499f4b6571ba7af9ece,0xD381e0d1500bA1bddc2593CB8044eff3a68AB486,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,10001,true
ActionHub,Aux,0xc6D57Ee750Ef2ee017a9E985A0C4198bEd16A802,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x4596724eA4bA9Cac81CDcD0d1ca860a3a92248b5,0x010006cd37e8116ecfb153d64729eaace5c7e8aea3dfeb634ee1868915c34de1,-,-,-,-
LensFees,Aux,0xFd577b6317F4ab53D5675E85b8DEB7A814165C3C,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xE23292bEA6bb5874A839a7E1FfB7301657353187,0x0100003f061fd7d7ae8d5f11c374ec6a6db99871ca367c4e876f604f622ba768,-,-,-,-
TippingAccountAction,Action,0x20170F1e53851dF4d9ea236a28399493C5B152c0,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xA2fc9eDa3F7f90DA9f7Fa40646d631986D5B3c74,0x01000243838fab50056ed45e5aea999346e2a63d2e5a3bd1e8610f51b5cbe6a3,-,-,-,-
TippingPostAction,Action,0x4984Ec4FfD17E64c8F91691D829BD5aeA287E47b,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xc976641660A15cc66C26f10BD72e4F956EAAFD4f,0x01000251e092a6a6b3c436a3139f50481bec608db733c90615100454d0e75925,-,-,-,-
SimpleCollectAction,Action,0x1cEE1cd464C4E44e80aCDB0B0e33f88849070F6E,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x549B53Ee0D0b554bB6Bc436Abc48EA24493FF5B6,0x01000563f33301196cca12320f15bebc291856bda025107acba2a93d79b747ca,-,-,-,-
AccountBlockingRule,Rule,0x3B766408f14141F4B567681A1c29CFB58D1C1574,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xb6607e2678FD4b28858Ee7ee447C236d23b71c28,0x0100022d3fbba6dd203f95e4584213cebe9581bcf5679f9bfa28eb4135f559f9,-,-,-,-
AdditionRemovalPidGroupRule,Rule,0x5C990114129dAb27F015F2d5ba756bD102807b86,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xf0d5B29A3F1Ad9CCfb26c9E58D11Bb3DFD382727,0x010001cfe7d947face04740d52d4275cde020e090bc8602d3a2fce361709a3fd,-,-,-,-
BanMemberGroupRule,Rule,0xe12543e5f917adA5aeF92B26Bc08E1925ec9F53F,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x10A5b2f7430b85B117E7DE77b9343e024193c7Ac,0x010003b3e06083dd2f2f1f00463117dfa37a1c87b5e30365f24d6d25e47fd6a4,-,-,-,-
GroupGatedFeedRule,Rule,0x40a2A352583B266097234f1260B5AAfB7B129047,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x3Ccda5a574B75afbFc235E6fC25c940df181d956,0x010001a5dd18b3bfbd985b04ad6ab06a52d3a49b3e3e4288cf8f3933445a517d,-,-,-,-
